address,chain,token_symbol,token_address,gmgn_tags,address_type,token_source_type,funding_source_type,holding_duration_type,result_type,final_role,evidence_level,signal_direction,action_code,write_to_database,suggest_gmgn_track,review_priority,review_windows,realized_profit_usd,unrealized_profit_usd,total_profit_usd,winrate,token_count,first_buy_time,last_active_time,holding_ratio,holding_value_usd,buy_volume_usd,sell_volume_usd,sell_pct,funding_source,token_source_address,infrastructure_level,risk_label,sikk_remark,created_at,updated_at,review_status,manual_note
GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler",普通钱包,主动买入,路由/工具节点候选,未知,高结果,结果钱包,E4,正向,A4,"地址主档库,钱包结果档案库",是,高,"T+1h,T+6h,T+24h,T+72h,T+7d",2680.03,540.07,3220.10,暂无数据,暂无数据,00:28:46,02:55:33,0.404%,1966.63,4995.42,6251.89,70.028%,BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA,未知,未知,未知,Smart Money高结果，需复盘稳定性,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"gmgn,fresh_wallet,top_holder,bundler",普通钱包,主动买入,路由/工具节点候选,未知,亏损,接盘鲸鱼/派发风险地址,R2,风险,R,"风险地址库,地址主档库",否,高,"T+6h,T+24h,T+72h",-1694.16,-7905.65,-9599.81,暂无数据,暂无数据,01:10:03,02:00:03,1.952%,9636.06,42581.27,24074.22,70.045%,F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,未知,未知,风险,高买入且大比例卖出/结果不稳定,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",332.75,253.59,586.34,暂无数据,暂无数据,02:51:54,03:04:38,0.137%,668.86,887.89,803.4,53.125%,GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",251.71,104.04,355.76,暂无数据,暂无数据,02:50:57,03:04:43,0.083%,405.39,893.3,839.61,66.110%,8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
undwZZbXFTXAizTeeNpmygJDa4pWopEr1UCDSWpyo4y,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",40.12,0,40.12,暂无数据,暂无数据,00:55:35,01:05:27,0.000%,0,3746.76,3809.74,100.000%,kapRxcwXvkdCLgbc6WuxQtkTYYovs7buJ3hbMp4Xri2,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
FAMEcanszfKG6WrXstFZjhpcsRkBA6Y59K2m3Qsjv5sa,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",37.16,0,37.16,暂无数据,暂无数据,00:47:05,00:47:40,0.000%,0,1747.31,1789.82,100.000%,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
A7Nka4vVv4dqv7qCEVBE4eRVNPrnrtf6bcgWifzLPmpx,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",16.77,0,16.77,暂无数据,暂无数据,02:49:20,02:50:42,0.000%,0,227.89,246.3,100.000%,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",9.99,0,9.99,暂无数据,暂无数据,02:52:14,02:55:51,0.000%,0,676.88,687.54,100.000%,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,未知,亏损,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",-95.38,0,-95.38,暂无数据,暂无数据,01:13:25,01:18:53,0.000%,0,1048.03,954.31,100.000%,7RXn9SgZi41SnZh6PEajvUYo19A1mprxFSj8Ss8iDPYz,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
EXUzBTmHcYYwoHXjVi4zRBrj92iAcbnDRnsjs5SZ5PoC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,padre,bundler",普通钱包,主动买入,路由/工具节点候选,未知,亏损,普通交易钱包,E1,中性,A1,地址主档库,否,低,"T+24h,T+72h",0,-405.85,-405.85,暂无数据,暂无数据,00:49:17,02:00:40,0.102%,495.62,889.54,0,0.000%,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,未知,未知,未知,低权重记录,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"kol,gmgn,transfer_in",普通钱包,转入,路由/工具节点候选,未知,浮盈,分发派发钱包,E4/R2,结构+风险,A4+R,"地址主档库,Token来源库,风险地址库,地址关系边库",是,高,"T+1h,T+6h,T+24h,T+72h,T+7d",309.03,0,309.03,暂无数据,暂无数据,01:30:28,02:33:59,0.000%,0,2994.28,5596.42,100.000%,69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk,BiCQ7k6afuhQ9qjta32pxwaEWTTKYnF7unBVL3wg8aB8,未知,风险,Token转入后高比例卖出，疑似分发后派发,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
D6kXNABjhGYW46tyX4Xtx9wrsYAHRxs18TqxDyX18iNZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"trojan,paper_hands,transfer_in",普通钱包,转入,路由/工具节点候选,未知,高结果,分发派发钱包,E4/R2,结构+风险,A4+R,"地址主档库,Token来源库,风险地址库,地址关系边库",是,高,"T+1h,T+6h,T+24h,T+72h,T+7d",5126.02,676.37,5802.39,暂无数据,暂无数据,03:01:37,03:03:22,0.879%,4339.48,3622.62,10071.17,63.411%,E9wq5iKcQ55Jwnm7AckXd6MWQazLx5kW2w9gaPJ4QKKt,5hkrcsizRezd5S1ek6NcvDSmSQcBxnTtoJezRvdPwwhp,未知,风险,Token转入后高比例卖出，疑似分发后派发,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
7cNfaRiuyhaC56nUxpupS4YUK3h5RdwzrmukYTmPph1j,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"fresh_wallet,top_holder",普通钱包,主动买入,路由/工具节点候选,未知,亏损,普通交易钱包,E2,中性,A2,地址主档库,观察,中,"T+24h,T+72h",0,-677.28,-677.28,暂无数据,暂无数据,03:04:28,03:05:15,1.565%,7728.59,8403.49,0,0.000%,37NaQDusi5dnMxzVFC7sni8pE4evFGk3RgoLa2nBbGyV,未知,未知,未知,Top holder但关键结构证据不足,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"kol,axiom,photon,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,未知,浮盈,结果钱包/KOL钱包,E3,正向+社交,A3,"地址主档库,钱包结果档案库",观察,中,"T+6h,T+24h,T+72h",511.99,0,511.99,暂无数据,暂无数据,00:17:59,00:20:15,0.000%,0,281.5,0,0.000%,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,未知,未知,未知,KOL参与，注意后续派发,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"axiom,fomo,top_holder",普通钱包,主动买入,路由/工具节点候选,未知,亏损,普通交易钱包,E2,中性,A2,地址主档库,观察,中,"T+24h,T+72h",0,-2045.88,-2045.88,暂无数据,暂无数据,00:54:18,01:29:55,1.068%,5270.89,7313.72,0,0.000%,ApRnQN2HkbCn7W2WWiT2FEKvuKJp9LugRyAE1a9Hdz1,未知,未知,未知,Top holder但关键结构证据不足,2026-04-29 03:10:14 UTC,2026-04-29 03:10:14 UTC,pending,GMGN自动分析生成；缺失字段待复查
