代币地址,代币符号,当前状态,状态原因,候选筛选等级,吸筹窗口状态,T_start,T_end,信号等级,风险门禁,建议纸面仓位SOL,钱包结构结论,钱包结构系数,钱包结构评分,钱包风险评分,钱包结构原因,策略类型,更新时间,模式
8n58q3pUr7VK3jhCXfx75rPLiygRWLuSSiyxP7aapump,GMEBAY,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
HXzqEEUjQ6JevbrJiMBAwoiCVikZb93XHmYtde4iCA3G,Spirit,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
BhCuLLN38Ru7qBkXBmGzNeG6ipiAcqvywpvNjQW7pump,GA,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
2wQq3MrFFHPQnapMt1wnZ2vGkVZDv5ENDCrdLCqFpump,rice,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
yrKmZe5x2YBp1P6ufKLUCNifPbqxwHiwsbfDRWBpump,ELIENUS,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
6ixv7h9LQ8Vz4S9F4Ta8BWM7USaDapihZroDWSRBpump,Shrek,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
Bvh8xqP2nkzZBBEywAFqNAc7Mek7QiUofeTmTbKRpump,CHUDBOB,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
J1UpPrMTEv2sNPFtB8ecyc4YScvrYoZJ7iriWJnwpump,小丫头,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
CFRX4w9w2mvhwZAxCPnyTY3PhHTJ9vQgninuXZfH5Wwn,FIT,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
79ogrGd2bhRS455phmsJo8iHYzBusqgLeyxF9Tf5pump,RC,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
GUfyGEF62BUUqj5f5PveZknhBQMWWFSXm2jqAdikpump,musk,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
E8syR4zsgQG2zo9YyiyfX4ujubByR4z6qj9stjASpump,STJUDE,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
ByqipPbSHxzLi6ga5LNrnE229vsLuSrCfHMaDbe1TRND,SIGHT ,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
B85ta9Qp7EgoVXaMka9BQYrFogSmC3PRjsxNM6HaHF41,AMC,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
2p5e3sudKx2LtM8iSefaSszMY9nCiHz6CTEASQ9Xpump,Dragon,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
3QQQxazHaMb72d7N9iftT26vuk6A4Re31fYmkwA2pump,PETS,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
HDG8Ng6YLpiYXzBASD1Zd5Wh7T8DHRYFcbf4YGuvpump,Octopus,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
7thaUtsPjcef9hd5p34PEkvr8wTuF63LhmPY7a3Vpump,LOKN,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
hpvoUYjKkvy2hyqC7444mU6eXFD3ETZW4tLd6Dapump,RJGN,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
2CKp88BFyPzr7gEuQKXMJ9cqa24AFXUNC41FR7udpump,Walter,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
3qwtMkiBc4uFSPmZeK7TMq8dVzmB4kCqnARXxAkmpump,AGI,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
HxFSWTJE3SeUCgsKJUcuGQYAiH4S4BFEnSoktfKLpump,ODAI,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
DQa4mxFws6WsXMwn8gpEBXqMsGfDn4Uopi8W2Zvopump,ELUENT,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
GH6MV3UVLjSbY2WaMUZqEECkDFnt7W4Z7Jrij43gpump,monk ,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
GVa4jr163EaBG1fv5hKFQbePKPojsoawuxdozcMSpump,SHUSH,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
FeMbDoX7R1Psc4GEcvJdsbNbZA3bfztcyDCatJVJpump,three,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
HdRFFy6Sm42rDAPLGRAZ1YymtpLukziwBrE9QGs4pump,CRACKROCK,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
6AVAUKa9uxQpruHZUinFECpXEh1usRVtzQWK8N2wpump,SCAM,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
4y1gkKzCb4qAiH8pH8ft2xvezf6sazurmYDajWXwpump,CREATURES,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
HDmojpFZvf1F421Gev2hh2p1ThaVbWsW5qh9C5Bipump,MSPAINTIFY,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
3vH3NzuHafRNvwKKzoGTWNuLtg5Kc38BxsmfUwgPpump,LUNCHMONEY,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
8c3JdTcEqy9XdUJ36NAns7XVDfh356nWxvwcMYKNpump,Scribbli,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
6r9CBT6kYgC49CwcnsX4NNtZmdixxhbjBGAfnXhqpump,ROME,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
3pCyU31quPpsVYaC5TxtXpe6sR1KXSLzk5TkZgXGpump,GOP,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
4ne9SgdsLE2P2FJEjxDxUnpwS3fLGCPpHFzYeuDCpump,ROAF,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
74CQjPmRd5A7MGc7Dnp1kgUNdPsYtB8FNbtak2Padpce,CLUTCH,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
3q8TXW31M8i3MPGRAfSnwPim6SwBQUqSSJwt1egcinDw,RunPepe,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
5ByEYVGSKtTzcQRhY8QkWRqKdhweXMHvHnacRznYnhUY,ROAF,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
PXCgWpfDv6hnNE9rac8qTk6Z1zWKJrRUcfjkVQWpXm7,PXC,WATCHING,候选筛选等级为观察层，等待更多 K线/结构证据,S1_普通观察,,,,,,0.0,未接入,,,,,,2026-05-02T05:00:42Z,paper/readiness
